30,000-Year White Turtle             | Turtle
Flame Ghost                          | Pyro
Flame Manipulator                    | Pyro
Flame Swordsman                      | Pyro
Flower Wolf                          | Animal
Frenzied Panda                       | Animal
Fusionist                            | Animal, Special-A
Garvas                               | Animal
Gate Deeg                            | Special-B
Gemini Elf                           | Elf, Female
Giant Turtle Who Feeds on Flames     | Turtle
Goddess of Whim                      | Female
Goddess with the Third Eye           | Female
Gorgon Egg                           | Special-B, Egg
Griffore                             | Animal
Guardian of the Labyrinth            | Dark Magic
Gyakutenno Megami                    | Female
Happy Lover                          | Special-A
Harpie Lady                          | Female, Special-D
Harpie Lady Sisters                  | Female
Hibikime                             | Female
Hiro's Shadow Scout                  | Special-B
Hitotsu-me Giant                     | Special-B
Horn Imp                             | Special-B
Hoshiningen                          | Special-C
Hourglass of Life                    | Special-C
Ice Water                            | Female
Ill Witch                            | Female
Invader of the Throne                | Female
Job-change Mirror                    | Dark Magic
Kagemusha of the Blue Flame          | Pyro
Kairyu-shin                          | Dragon
Kamion Wizard                        | Dark Magic, Dark Spellcaster
Kanan the Swordmistress              | Female
Key Mace                             | Female, Special-C
King Fog                             | Dark Magic
Kuriboh                              | Special-B
Lady of Faith                        | Female
LaMoon                               | Female
Left Arm of the Forbidden One        | Dark Magic, Dark Spellcaster
Left Leg of the Forbidden One        | Dark Magic, Dark Spellcaster
Leo Wizard                           | Dark Magic, Dark Spellcaster
Leogun                               | Animal
Lesser Dragon                        | Special-B
Little Chimera                       | Animal
Lord of the Lamp                     | Dark Magic
Lord of Zemia                        | Dark Magic
Lucky Trinket                        | Special-C
Lunar Queen Elzaim                   | Female, Special-A, Special-C
Madjinn Gunn                         | Special-B
Magician of Faith                    | Female, Special-C
Maiden of the Moonlight              | Female
Mammoth Graveyard                    | Special-B
Mask of Darkness                     | Dark Magic
Masked Clown                         | Dark Magic
Masked Sorceror                      | Dark Magic, Dark Spellcaster
Master & Expert                      | Animal
Mavelus                              | Pyro, Special-D
Meda Bat                             | Special-B
Megirus Light                        | Dark Magic
Meotoko                              | Special-B
Metal Dragon                         | Dragon, Pyro
Metal Guardian                       | Special-B
Midnight Fiend                       | Special-B
Milus Radiant                        | Animal
Monster Egg                          | Egg
Monstrous Bird                       | Special-D
Monsturtle                           | Turtle
Morphing Jar                         | Jar
Muse-A                               | Female
Mystery Hand                         | Special-B
Mystic Lamp                          | Dark Magic, Dark Spellcaster
Mystical Capture Chain               | Special-C
Mystical Elf                         | Elf, Female
Mystical Sand                        | Female
Mystical Sheep #1                    | Animal
Mystical Sheep #2                    | Animal
Needle Ball                          | Special-B
Nekogal #2                           | Female
Nemuriko                             | Dark Magic, Dark Spellcaster, Female
Obese Marmot of Nefariousness        | Animal, Special-B
Ocubeam                              | Special-A
Peacock                              | Special-D
Petit Angel                          | Special-A
Phantom Dewan                        | Dark Magic, Dark Spellcaster
Pot the Trick                        | Jar
Prevent Rat                          | Animal
Princess of Tsurugi                  | Female
Protector of the Throne              | Female
Punished Eagle                       | Special-D
Queen of Autumn Leaves               | Female
Queen's Double                       | Female
Right Arm of the Forbidden One       | Dark Magic, Dark Spellcaster
Right Leg of the Forbidden One       | Dark Magic, Dark Spellcaster
Rose Spectre of Dunn                 | Female
Saggi the Dark Clown                 | Dark Magic, Dark Spellcaster
Sangan                               | Special-B
Sea King Dragon                      | Dragon, Turtle
Sectarian of Secrets                 | Dark Magic, Dark Spellcaster
Shining Friendship                   | Special-A
Silver Fang                          | Animal
Skelengel                            | Special-A
Skelgon                              | Dragon
Skull Red Bird                       | Special-D
Sleeping Lion                        | Animal
Solitude                             | Special-B
Sonic Maid                           | Female
Spike Seadra                         | Dragon
Stone D.                             | Dragon
Succubus Knight                      | Female
Sword Arm of Dragon                  | Dragon
Synchar                              | Animal
Tainted Wisdom                       | Special-B
Takuhee                              | Special-D
Tenderness                           | Special-A, Special-C
Terra the Terrible                   | Special-B
That Which Feeds on Life             | Dark Magic
The Drdek                            | Special-B
The Shadow Who Controls the Dark     | Dark Magic
Thunder Dragon                       | Dragon
Torike                               | Animal
Trial of Nightmares                  | Special-B
Turtle Bird                          | Turtle
Turtle Raccoon                       | Turtle
Turtle Tiger                         | Turtle
Twin-headed Thunder Dragon           | Dragon
Unknown Warrior of Fiend             | Dark Magic
Versago the Destroyer                | Dark Magic
Vishwar Randi                        | Dark Magic, Female
Warrior of Tradition                 | Female
Water Element                        | Female
Water Girl                           | Female
Water Magician                       | Female
Water Omotics                        | Female
Waterdragon Fairy                    | Female
Weather Control                      | Special-C
Wicked Dragon with the Ersatz Head   | Special-B
Wing Egg Elf                         | Elf, Special-A, Egg
Witch of the Black Forest            | Female
Witch's Apprentice                   | Female
Witty Phantom                        | Dark Magic
Wolf                                 | Animal
Wood Clown                           | Dark Magic
Wretched Ghost of the Attic          | Dark Magic
